Link ID,Start Node,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
993014-992109,993014,836370.1951,824731.2788,992109,836210.8785,824568.9879,ST,MAJOR ROUTE
993015-992115,993015,835894.2349,824187.3438,992115,836738.5515,823043.6365,ST,MAJOR ROUTE
993016-992116,993016,836740.3734,823038.7661,992116,836744.4697,823024.51,ST,MAJOR ROUTE
993017-993018,993017,834821.9649,824311.3009,993018,833257.778,823023.9921,ST,MAJOR ROUTE
993018-992126,993018,833257.778,823023.9921,992126,832980.8479,822769.1088,ST,MAJOR ROUTE
993019-993020,993019,835129.9142,826809.3339,993020,832576.3238,826629.137,ST,MAJOR ROUTE
993020-992137,993020,832576.3238,826629.137,992137,832416.3317,826796.9569,ST,MAJOR ROUTE
993021-992140,993021,823225.0754,834996.5499,992140,823206.885,834965.2862,TM,MAJOR ROUTE
993021-992141,993021,823201.4071,834969.0213,992141,823225.0754,834996.5499,TM,MAJOR ROUTE
993022-993023,993022,824236.8595,829891.4274,993023,824992.7173,826271.2138,TM,MAJOR ROUTE
993023-992161,993023,824992.7173,826271.2138,992161,825145.491,826154.8559,TM,MAJOR ROUTE
993025-992197,993025,815628.7864,828637.3777,992197,815641.9824,828454.4554,TM,MAJOR ROUTE
993025-992244,993025,815628.7864,828637.3777,992244,815795.0103,828324.2237,TM,URBAN ROAD
993026-992242,993026,828232.3586,825962.976,992242,829056.4571,825901.1323,TM,MAJOR ROUTE
